name	counter
ADDRESS, cadastral, land use, planning, transportation	1
Geographical names, geographical grids and coverages	1
Mapping (Location and Geodata)	1
transports	1
Planimetries	1
Geospatial, imagery, base maps, earth cover (may require more precise mapping to DCAT-AP EU data themes for exact match)	1
GEOGRAPHICAL SYSTEMS AND SERVICES	1
Administrative units, boundaries, cadastre	1
Mapping, geospatial	1
Maps and Spatial Data	1
Geographic/GIS	1
STRUCTURAL	1
Geographical names and reference systems	4
Geographical names, geographical information systems (GIS), maps	1
Mapping & Geocoding	1
GEOPOINT	1
GEOPOLITICAL	1
Geospatial data and services	1
Other (Catalog lists GIS services, no specific theme provided)	1
Geographical Information Systems (GIS)	1
Placeholder for EU data theme	1
Not available/Undefined	1
http://publications.europa.eu/resource/authority/data-theme/ECHA	1
Organisations	1
Region	1
Culture, media and sport	1
OCEANOGRAPHIC/GEOSCIENTIFIC/CLIMATE	1
Employment, education and skills	1
sea_level	1
Higher education	1
Not available in provided text	1
Science, technology and data	1
Research, Science & Technology	1
Arts, culture, heritage	1
Geographical, infrastructure and networks	1
Geographical names, geographical information systems (GIS), geology	1
Water and marine environment	1
Public administration and governance	1
Fisheries and wildlife management	1
Emergency management / Civil protection	1
Bio Diversity	1
Mapping and Surveying	1
buildings and construction	1
geospatial,land,environment,planning	1
Buiding	1
INFORMATION SOCIETY and TECHNOLOGY	1
atmospheric conditions	2
sea regions	1
bio-geographical regions	1
habitats and biotopes	1
parcel	1
waste management	1
water resources management	1
disaster	1
Geospatial Data	1
JUSTICE, LAW AND SAFETY	1
AGRICULTURE, FISHERIES, FORESTRY, FOOD	1
Mapping and base data	1
Imagery/base maps/earth cover	1
Geographical names, geology, oceans, environment	1
Regions, cities, infrastructure	1
Geo,Statistical units	1
Transportation,Hydrography	1
Protection sites	1
MARITIME	1
Social welfare, health and security	1
Geographical and governmental units	1
Geo data	1
geographic_management_units	1
Meteorology	1
agri-food	1
e-government	1
population-and-society	1
economy_and_finance	1
GOVERNANCE, PUBLIC SECTOR, EUROVOC	1
http://publications.europa.eu/resource/authority/data-theme/GOVE, http://publications.europa.eu/resource/authority/data-theme/ECON, http://publications.europa.eu/resource/authority/data-theme/ENVI, http://publications.europa.eu/resource/authority/data-theme/TRAN	1
PLANNING/CADASTRE	1
Economic and financial data	1
cultureAndLeisure	1
legalAndJustice	1
societyAndWelfare	1
urbanDevelopmentAndHousing	1
Regional and local development	1
public order, justice and emergency services	1
Not specified in the provided context	1
POLITICS	1
Agriculture et alimentation	1
Économie et entreprises	1
Éducation et recherche	1
CITIZEN_AND_SOCIETY	1
Culture & Tourism	1
Reference data	1
To be determined from actual catalog content - select from DCAT-AP themes	1
PUBLIC_SECTOR	1
OPEN_DATA	1
eudata_themes_other	1
URBAN PLANNING	1
TOURISM AND CULTURE	1
Public Finance	1
Arts, culture, recreation and religion	1
EU:Organisations	1
EU:Government and public sector	1
EU:Public finance	1
AGRICULTURE, FORESTRY, AQUACULTURE, AND FISHERIES	1
CITY_DISTRICT	1
EU Data Theme Vocabulary	1
Knowledge Graphs	1
Data Integration	1
GENERAL_PUBLIC_SERVICES	1
BUSINESS_AND_COMPETITION	1
AGRICULTURE_FORESTRY_FISHERIES	1
INTERNATIONAL_ACTIVITIES	1
GEOGRAPHIC_INFORMATION_SYSTEMS	1
public_services	1
Foreign policy	1
ENV:Environment	1
Elevation and imagery	1
geomorphology	1
groundwater	1
bathymetry	1
Geographic information systems (GIS, geospatial data)	1
buildings_and_landuse	1
utilities_government_services	1
Atmospheric conditions and meteorological geographical features	1
Regional planning and development	1
Geographical names, administrative units	2
Location, Address, and Geographical Names: e.g. addresses, geographical names and locations	1
Theme to be determined by EU data theme vocabulary	1
Geo, geology, and geography	1
geospatial, government, open data	1
pollution	2
waste	1
Utilities & Government Services	1
Geographical names and grid systems	1
Geographical names, land cover and use	1
ENVIRONMENTAL_MONITORING	1
Geographic information systems, imagery, base maps, and land cover	1
Not specified in provided text. DCAT-AP themes might include: http://publications.europa.eu/resource/authority/data-theme	1
Not provided in provided text	1
environmental-information	1
Users and ownership of environmental resources	1
geospatial datasets	1
Inspire themes (geospatial data themes), but as specific DCAT-AP themes not specified, using 'http://publications.europa.eu/resource/authority/data-theme/GEOC' (geospatial)	1
Agriculture, forestry and rural areas	1
geosciences	3
Geographic datasets	1
geodata.geographicalNames	2
geodata.geographicalGridSystems	1
geodata.landCover	1
geodata.topography	1
Geographic information, maps	1
opendata	1
https://op.europa.eu/en/web/eu-vocabularies/datasets/dcat-ap#environment	1
https://op.europa.eu/en/web/eu-vocabularies/datasets/dcat-ap#geography	1
http://publications.europa.eu/resource/authority/data-theme/ENVI, http://publications.europa.eu/resource/authority/data-theme/GOVE	1
Not provided (requires domain context or explicit metadata from the URL, but typical geospatial catalogs in this context would use the value from the INSPIRE/DCAT-AP ‘theme’ vocabulary such as ‘geospatial’ or ‘environment’; however, mapping to the official EU data theme list is not explicit on the site itself, so this is a placeholder)	1
Other possible themes if available: 'Transport', 'Environment', 'Administrative units', etc.	1
GEOSCIENTIFIC	2
Geo.INSPIRE themes	1
INSPIRE themes (EU)	1
IMAGERY/BASE MAPS/EARTH COVER	1
Not determinable from the URL alone. No actual theme information, only hostname (geoserver) suggests possible spatial or geospatial content.	1
PLANNING_CADASTRE	2
PD	1
Geographical information, systems and services	1
Climate, environment	1
Nature	1
Mapping & Geospatial Data	1
Environment/Society	1
Regional/Urban Development	1
EC	1
SO	1
REGIONAL_AND_LOCAL_GOVERNMENT	1
Location, Government, and Public Sector, and Others	1
Base registries	1
Earth observation & environment	1
Planning and Cadastre	1
Goverment	1
GEOGRAPHICAL INFORMATION SYSTEMS AND SERVICES	1
(other themes may be available, but not explicitly listed)	1
hydrology	1
geographical names, addresses, buildings	1
BIOTA	1
CONSERVATION	1
geographical names, geology, mineral resources, environment	1
earth_sciences	1
GEOGRAPHIC INFORMATION / GEOGRAPHICAL INFORMATION SYSTEMS	1
geonetwork	1
TRANSPORT_NETWORKS	1
geospacial	1
ADMIN	1
AGRIC	1
STRUCT	1
EDU	1
Geographic information / geospatial	1
GEOSPATIAL INFORMATION	1
Not specified (could be 'Geographical data' for GeoServer, but not confirmed by provided input)	1
Mapping and geographical information systems	1
Environment, Energy, Utilities	1
Agriculture, Fisheries, Forestry, Food	1
Culture, sport, leisure	1
leisure	1
TECHNOLOGY AND INFRASTRUCTURE	1
Utilities / Government services	1
ATMOSPHERE	1
WEATHER	1
Mapping and geo-information	1
Planning/Building	1
geographical and land-related	1
FREQ	1
Other/Unknown	1
Geographical names and topography	1
Territory, regions and cities	1
Scientific research data	1
Buildings and housing	1
GEODATA/GEOSPATIAL	1
Mapping and cartography	1
OPENDATA	1
LAND: Land use	1
ECON: Economic and financial	1
Geographic, geological and meteorological information	1
Property information	1
TRPT	1
prot	1
Imagery/base maps	1
Planning/cadastre	1
Not Specified	1
Core location names and addresses	1
Geospatial, infrastructures	1
Geographic information systems and maps	1
Unknown (no specific theme extracted)	1
inspire	2
Geographic information/maps/plans	1
geodatasets	1
geodata.elevation	1
geodata.orthoimagery	1
geodata.geologicalData	1
geodata.boundaries	1
geodata.transportNetworks	1
geodata.hydrography	1
geodata.protectedSites	1
GIS	1
Geographical names, address and cadastral reference	1
justice, legal system and public safety	1
PRODUCTION AND FACILITIES	1
Maritime activities	1
Land cover/use	1
Protection of the environment, biodiversity and nature	1
Not explicitly available from the URL. Please provide more details for mapping to EU data themes.	1
geographical and meteorological	1
Meteorological	1
base-maps	1
Geographical names, geographical grid systems, administrative and transport boundaries	1
earth observation data	1
Local government services	1
land_parcel_identification	1
TELECOMMUNICATIONS	1
